Code,Name,Return,Noise,Derivative
066970,엘앤에프,-4.32,-10.93,-1.36
017800,현대엘리베이,-2.48,-10.35,-0.45
298000,효성화학,-2.65,-10.12,-1.72
161000,애경유화,-3.66,-10.07,-0.68
067990,도이치모터스,-2.97,-9.27,-0.62
139480,이마트,-2.05,-9.09,0.57
086520,에코프로,-4.0,-8.9,-1.36
039490,키움증권,-3.27,-8.72,-0.18
300720,한일시멘트,-0.76,-8.25,-0.27
122450,KMH,-2.47,-8.13,-0.11
068930,디지털대성,-2.61,-7.95,-0.74
036570,엔씨소프트,-0.6,-7.93,-0.59
031440,신세계푸드,-6.11,-7.75,1.45
016360,삼성증권,-1.03,-7.4,-0.39
020150,일진머티리얼즈,-3.6,-6.4,-0.75
120110,코오롱인더,-0.92,-6.25,-0.27
010780,아이에스동서,-0.96,-6.23,-0.01
011170,롯데케미칼,-3.34,-6.04,-0.58
247540,에코프로비엠,-4.0,-5.95,-0.75
041510,에스엠,-5.42,-5.81,-0.3
293490,카카오게임즈,-0.49,-5.74,-0.97
035600,KG이니시스,-0.79,-5.64,-0.3
030000,제일기획,1.0,-5.51,-0.55
040420,정상제이엘에스,-0.33,-5.44,-0.29
005070,코스모신소재,-2.14,-5.16,-0.65
069960,현대백화점,-3.17,-5.12,-0.23
003670,포스코케미칼,-2.96,-5.07,-0.62
002960,한국쉘석유,-0.16,-5.01,-0.1
210980,SK디앤디,-0.83,-4.97,-0.23
009240,한샘,0.21,-4.97,-0.43
068760,셀트리온제약,-3.35,-4.97,-0.23
078020,이베스트투자증권,-2.22,-4.94,-0.32
097950,CJ제일제당,-3.13,-4.86,-0.4
375500,DL이앤씨,-4.51,-4.86,-0.09
272290,이녹스첨단소재,-2.54,-4.85,-0.4
035720,카카오,-1.96,-4.78,-0.9
031430,신세계인터내셔날,-1.88,-4.73,-0.41
298050,효성첨단소재,-0.74,-4.68,-0.5
000080,하이트진로,-0.31,-4.57,-0.43
298020,효성티앤씨,-4.18,-4.56,-0.5
005420,코스모화학,-3.07,-4.49,-0.54
079430,현대리바트,-1.05,-4.43,-0.34
007330,푸른저축은행,0.12,-4.37,-0.69
058430,포스코강판,-3.11,-4.27,-0.22
047040,대우건설,-0.32,-4.22,-0.35
054620,APS홀딩스,-1.52,-4.16,-0.82
131970,테스나,-1.6,-4.16,-0.59
006400,삼성SDI,-3.23,-4.13,-0.21
006110,삼아알미늄,-1.92,-4.03,-1.05
175330,JB금융지주,-2.95,-4.01,-0.21
001120,LX인터내셔널,-0.55,-3.9,-0.38
035420,NAVER,-2.56,-3.87,-0.55
012700,리드코프,-0.75,-3.84,-0.26
090430,아모레퍼시픽,-1.34,-3.84,-0.29
014680,한솔케미칼,-3.09,-3.82,-0.36
294870,HDC현대산업개발,-2.22,-3.8,-0.48
111770,영원무역,-4.36,-3.79,0.03
011070,LG이노텍,-2.78,-3.76,-0.37
015760,한국전력,-2.44,-3.69,-0.38
035890,서희건설,-2.7,-3.65,-0.14
051910,LG화학,-3.0,-3.6,-0.36
008350,남선알미늄,1.07,-3.58,0.64
004910,조광페인트,-1.34,-3.39,0.17
272550,삼양패키징,-2.01,-3.37,-0.08
214320,이노션,-1.5,-3.36,-0.1
336370,솔루스첨단소재,-0.24,-3.36,-0.76
007310,오뚜기,-1.26,-3.35,-0.15
138490,코오롱플라스틱,0.19,-3.31,-0.31
009410,태영건설,0.83,-3.22,-0.45
001430,세아베스틸,-1.62,-3.21,-0.3
046890,서울반도체,-2.74,-3.19,0.05
011780,금호석유,-1.77,-3.14,-0.38
151860,KG ETS,-0.21,-3.12,-0.32
137400,피엔티,-0.53,-3.05,-0.64
010060,OCI,-0.51,-3.04,-0.23
105630,한세실업,-2.96,-3.04,-0.07
035900,JYP Ent.,-3.29,-3.02,-0.25
183190,아세아시멘트,-1.75,-3.0,-0.24
213420,덕산네오룩스,-1.08,-2.95,-0.12
093370,후성,-2.61,-2.89,-0.52
005490,POSCO,-1.38,-2.88,-0.35
019210,와이지-원,-0.98,-2.87,-0.12
006650,대한유화,-1.93,-2.87,-0.25
013120,동원개발,-1.27,-2.86,0.05
009150,삼성전기,-1.13,-2.84,-0.1
090460,비에이치,-1.44,-2.77,-0.27
192080,더블유게임즈,-2.6,-2.75,0.05
034730,SK,0.38,-2.65,-0.25
067310,하나마이크론,0.11,-2.63,-0.41
034830,한국토지신탁,0.0,-2.62,-0.15
088130,동아엘텍,1.81,-2.61,-0.76
074600,원익QnC,-0.95,-2.56,-0.22
095610,테스,-0.9,-2.53,0.01
014820,동원시스템즈,-1.74,-2.51,-0.26
006360,GS건설,0.0,-2.47,-0.35
034220,LG디스플레이,-0.77,-2.42,-0.06
005850,에스엘,0.0,-2.41,-0.26
004020,현대제철,-0.95,-2.41,-0.29
285130,SK케미칼,0.23,-2.35,-0.3
014830,유니드,-1.66,-2.35,0.13
001390,KG케미칼,-1.74,-2.34,-0.08
122990,와이솔,0.39,-2.3,-0.31
067160,아프리카TV,-0.77,-2.3,-0.56
071050,한국금융지주,-0.84,-2.29,-0.42
166090,하나머티리얼즈,-0.65,-2.29,-0.23
065350,신성델타테크,-7.08,-2.28,0.62
002810,삼영무역,-0.08,-2.26,-0.21
317400,자이에스앤디,0.62,-2.26,-0.25
020000,한섬,-0.14,-2.25,-0.24
090350,노루페인트,-0.38,-2.22,-0.09
230360,에코마케팅,-2.58,-2.22,-0.13
030210,KTB투자증권,0.32,-2.22,1.41
005950,이수화학,-0.98,-2.2,-0.57
004170,신세계,-2.26,-2.19,-0.09
083930,아바코,-0.67,-2.15,-0.52
003540,대신증권,-0.31,-2.13,0.04
002020,코오롱,0.21,-2.11,-0.41
006740,영풍제지,-0.86,-2.1,-0.45
060720,KH바텍,-0.25,-2.09,-0.04
267980,매일유업,-0.14,-2.03,-0.03
006800,미래에셋증권,0.0,-2.02,-0.36
066570,LG전자,0.6,-2.01,-0.42
096770,SK이노베이션,-0.89,-1.97,-0.44
139130,DGB금융지주,-0.12,-1.96,-0.12
016380,KG동부제철,0.0,-1.94,-0.13
319660,피에스케이,-0.85,-1.9,-0.43
001230,동국제강,0.14,-1.9,-0.09
004960,한신공영,0.16,-1.89,-0.36
123890,한국자산신탁,0.9,-1.88,-0.22
086790,하나금융지주,0.0,-1.87,-0.16
006060,화승인더,0.0,-1.83,-0.04
049720,고려신용정보,-0.69,-1.79,-0.05
055550,신한지주,0.21,-1.73,-0.14
241520,DSC인베스트먼트,-0.35,-1.71,-0.26
192440,슈피겐코리아,-1.39,-1.68,0.07
248170,샘표식품,-0.2,-1.6,-0.16
195870,해성디에스,-1.07,-1.51,0.16
316140,우리금융지주,-0.52,-1.5,-0.03
028670,팬오션,-0.3,-1.49,-0.21
037070,파세코,2.31,-1.48,-0.46
005960,동부건설,-0.13,-1.45,-0.17
003030,세아제강지주,-1.88,-1.44,0.04
002380,KCC,-3.18,-1.43,-0.13
099190,아이센스,0.85,-1.4,-0.5
240810,원익IPS,-1.12,-1.39,-0.13
001820,삼화콘덴서,-2.54,-1.38,-0.18
225190,삼양옵틱스,5.58,-1.36,-0.84
013580,계룡건설,0.0,-1.34,-0.13
002990,금호건설,-0.37,-1.32,-0.09
344820,KCC글라스,-0.4,-1.32,-0.07
036540,SFA반도체,0.0,-1.32,-0.29
010950,S-Oil,0.0,-1.29,-0.14
005380,현대차,-0.24,-1.18,0.08
237690,에스티팜,-3.94,-1.16,-0.09
108670,LX하우시스,0.78,-1.15,-0.38
051900,LG생활건강,0.49,-1.15,-0.33
000720,현대건설,0.2,-1.09,-0.08
010620,현대미포조선,0.22,-1.05,-0.12
034120,SBS,1.35,-0.93,3.18
063160,종근당바이오,-0.23,-0.92,-0.3
207940,삼성바이오로직스,-1.58,-0.9,-0.29
000990,DB하이텍,-0.75,-0.88,-0.41
005290,동진쎄미켐,0.48,-0.85,-0.3
024110,기업은행,0.35,-0.78,0.03
306200,세아제강,-1.57,-0.73,-0.11
066130,하츠,2.6,-0.64,-0.55
007340,디티알오토모티브,0.05,-0.6,-0.23
038290,마크로젠,-0.79,-0.56,-0.18
046440,KG모빌리언스,0.74,-0.56,-0.17
002390,한독,-0.5,-0.55,-0.31
100120,뷰웍스,-0.47,-0.53,-0.05
114810,아이원스,-0.94,-0.52,-0.31
011210,현대위아,1.85,-0.49,-0.18
000860,강남제비스코,1.38,-0.47,-0.18
017670,SK텔레콤,1.63,-0.43,-0.15
149950,아바텍,2.44,-0.4,-0.14
008490,서흥,1.65,-0.4,-0.01
210540,디와이파워,1.81,-0.38,-0.11
003690,코리안리,1.01,-0.37,0.17
104830,원익머트리얼즈,1.16,-0.32,-0.28
005930,삼성전자,0.38,-0.3,-0.08
083310,엘오티베큠,1.2,-0.29,-0.34
194480,데브시스터즈,2.35,-0.29,-0.96
000660,SK하이닉스,-1.55,-0.25,-0.44
102120,어보브반도체,1.85,-0.23,-0.43
028050,삼성엔지니어링,1.51,-0.21,-0.33
033290,코웰패션,2.14,-0.18,-0.01
008250,이건산업,-0.39,-0.16,-0.17
084010,대한제강,-0.06,-0.13,0.01
138930,BNK금융지주,1.64,-0.02,-0.11
119860,다나와,0.0,-0.0,-0.0
265520,AP시스템,0.57,-0.0,-0.13
001880,DL건설,0.0,0.0,0.0
003410,쌍용C&E,0.0,-0.0,0.0
198440,고려시멘트,1.33,0.03,-0.19
123690,한국화장품,-0.16,0.09,-0.19
035510,신세계 I&C,-4.07,0.17,2.69
047050,포스코인터내셔널,1.13,0.17,0.33
317330,덕산테코피아,2.02,0.19,-0.58
322000,현대에너지솔루션,0.99,0.2,-0.52
