Code,Name,Return,Noise,Derivative
SMCI,Supermicro,-1.35,-11.8,-0.09
MU,Micron Technology,0.86,-11.74,-0.7
PWR,Quanta Services,1.3,-10.78,-0.36
GEV,GE Vernova,-0.53,-10.67,-0.25
PKG,Packaging Corporation of America,-9.77,-10.01,-0.03
VST,Vistra Corp.,3.72,-9.78,-0.29
AVGO,Broadcom,-0.49,-9.7,-0.42
NVDA,Nvidia,-4.1,-9.51,-0.13
ANET,Arista Networks,1.22,-9.11,-0.17
DHR,Danaher Corporation,-9.73,-8.66,0.14
ETN,Eaton Corporation,1.58,-8.23,-0.15
LII,Lennox International,-8.79,-8.21,0.16
JNPR,Juniper Networks,-3.17,-8.08,-0.22
DLR,Digital Realty,-0.25,-7.74,-0.36
KMI,Kinder Morgan,-0.58,-7.38,-0.39
HPE,Hewlett Packard Enterprise,0.93,-7.37,-0.06
LMT,Lockheed Martin,-0.68,-7.36,-0.08
CEG,Constellation Energy,4.7,-7.29,-0.05
EA,Electronic Arts,0.49,-7.28,-1.62
LDOS,Leidos,-0.86,-6.75,-0.53
TECH,Bio-Techne,-3.71,-6.17,-0.01
IRM,Iron Mountain,1.85,-6.14,-0.29
CDNS,Cadence Design Systems,-3.15,-6.12,0.16
ORCL,Oracle Corporation,-1.21,-6.03,0.67
CARR,Carrier Global,-3.71,-5.97,-0.18
TPL,Texas Pacific Land Corporation,-0.25,-5.87,-0.48
TT,Trane Technologies,-0.48,-5.79,-0.16
GM,General Motors,-0.52,-5.75,0.18
GD,General Dynamics,-4.24,-5.71,-0.1
BXP,"BXP, Inc.",-5.93,-5.68,-0.01
HAL,Halliburton,-1.05,-5.67,-0.68
DELL,Dell Technologies,1.79,-5.66,-0.14
INTC,Intel,-0.25,-5.44,0.11
NRG,NRG Energy,-0.3,-5.35,-0.01
GNRC,Generac,-0.72,-5.27,-0.41
TER,Teradyne,0.08,-5.21,-0.77
AMAT,Applied Materials,1.41,-5.16,-0.24
TXN,Texas Instruments,-0.17,-5.12,-0.18
PEG,Public Service Enterprise Group,-0.05,-5.1,-0.34
WDC,Western Digital,-0.11,-4.9,0.14
APH,Amphenol,1.17,-4.85,0.37
LRCX,Lam Research,0.86,-4.75,-0.12
TSLA,"Tesla, Inc.",-2.26,-4.69,-0.41
ARE,Alexandria Real Estate Equities,-1.5,-4.58,-0.07
FCX,Freeport-McMoRan,1.23,-4.57,-0.69
EIX,Edison International,-0.55,-4.57,-0.69
HUBB,Hubbell Incorporated,1.05,-4.57,-0.01
HII,Huntington Ingalls Industries,-1.47,-4.55,-0.04
JCI,Johnson Controls,0.21,-4.49,-0.18
WMB,Williams Companies,0.24,-4.39,-0.3
MPWR,Monolithic Power Systems,0.19,-4.38,0.57
BKR,Baker Hughes,-0.49,-4.36,-0.38
STX,Seagate Technology,-0.89,-4.2,0.77
GLW,Corning Inc.,-2.79,-4.09,0.48
ALB,Albemarle Corporation,0.44,-3.97,-0.75
PCG,PG&E Corporation,-1.07,-3.9,-0.42
MSCI,MSCI,-5.62,-3.87,0.12
ADI,Analog Devices,0.19,-3.82,-0.01
OKE,ONEOK,-0.22,-3.77,-0.51
KLAC,KLA Corporation,1.43,-3.61,-0.16
NVR,"NVR, Inc.",-1.23,-3.6,-0.13
EG,Everest Group,-4.34,-3.57,0.1
SNPS,Synopsys,-2.55,-3.56,0.24
FSLR,First Solar,3.6,-3.27,-1.23
ENPH,Enphase Energy,-2.2,-3.14,-0.19
HST,Host Hotels & Resorts,-2.7,-3.07,-0.03
POOL,Pool Corporation,-1.56,-3.03,0.16
LHX,L3Harris,-0.63,-3.01,-0.0
JBL,Jabil,-0.46,-2.99,0.24
CE,Celanese,-1.29,-2.96,0.12
ISRG,Intuitive Surgical,-0.25,-2.88,0.01
SLB,Schlumberger,-0.92,-2.85,-0.03
IQV,IQVIA,-2.63,-2.83,0.29
NOC,Northrop Grumman,-1.05,-2.79,0.26
DVN,Devon Energy,0.54,-2.73,-0.63
ZBRA,Zebra Technologies,-1.48,-2.73,0.13
PHM,PulteGroup,-1.79,-2.67,-0.05
WBA,Walgreens Boots Alliance,3.31,-2.66,-0.93
DOC,Healthpeak Properties,-2.18,-2.65,0.02
ROK,Rockwell Automation,-1.18,-2.58,0.1
EQT,EQT Corporation,1.44,-2.58,-0.29
MCHP,Microchip Technology,-0.44,-2.58,0.03
SYY,Sysco,-0.5,-2.55,0.06
TRGP,Targa Resources,0.24,-2.54,-0.29
TXT,Textron,-0.78,-2.53,-0.16
CRL,Charles River Laboratories,-1.22,-2.49,-0.12
AOS,A. O. Smith,-0.93,-2.44,-0.12
ODFL,Old Dominion,-2.18,-2.41,0.07
A,Agilent Technologies,-2.16,-2.41,0.32
URI,United Rentals,-1.12,-2.4,0.19
AES,AES Corporation,1.27,-2.34,-0.45
DTE,DTE Energy,-0.84,-2.33,-0.24
TEL,TE Connectivity,-0.5,-2.3,0.46
BRO,Brown & Brown,-1.76,-2.26,0.02
NTAP,NetApp,0.63,-2.19,0.17
USB,U.S. Bancorp,-1.61,-2.18,-0.03
OXY,Occidental Petroleum,-0.35,-2.17,-0.49
SW,Smurfit WestRock,-1.44,-2.17,0.36
ALGN,Align Technology,-0.76,-2.12,0.39
EOG,EOG Resources,-0.02,-2.08,-0.36
ETR,Entergy,2.09,-2.07,-0.09
DHI,D. R. Horton,-1.4,-2.07,-0.11
MKTX,MarketAxess,-1.93,-2.06,0.15
AMD,Advanced Micro Devices,2.79,-2.03,-0.06
EXPE,Expedia Group,-0.29,-2.02,-0.78
AMT,American Tower,-1.77,-2.01,-0.06
LEN,Lennar,-2.79,-2.01,-0.06
CCI,Crown Castle,-2.07,-1.96,-0.05
FANG,Diamondback Energy,0.95,-1.96,-0.34
TRMB,Trimble Inc.,-0.66,-1.94,0.28
NI,NiSource,0.6,-1.91,-0.19
LKQ,LKQ Corporation,-0.76,-1.9,0.04
ON,ON Semiconductor,-0.19,-1.89,0.05
CMI,Cummins,1.07,-1.88,-0.16
IDXX,Idexx Laboratories,0.21,-1.88,0.06
CSCO,Cisco,0.2,-1.88,0.09
UBER,Uber,-1.94,-1.87,0.05
FAST,Fastenal,-0.95,-1.82,0.02
ANSS,Ansys,-1.12,-1.7,0.16
DPZ,Domino's,-0.47,-1.69,0.28
PNR,Pentair,-1.05,-1.69,0.04
CTRA,Coterra,1.22,-1.68,-0.31
AME,Ametek,-0.2,-1.67,0.26
