Date,Close,T_noise,T_trend,T_mix
2002-10-14,5511.0,0.38333,0.15,0.266665
2002-10-15,5646.0,0.74167,0.15,0.445835
2002-10-16,5670.0,0.775,0.15833,0.466665
2002-10-17,5748.0,0.85833,0.225,0.5416650000000001
2002-10-18,5994.0,0.96667,0.525,0.745835
2002-10-21,5832.0,0.85,0.83333,0.841665
2002-10-22,5703.0,0.59167,0.94167,0.76667
2002-10-23,5873.0,0.8250000000000001,0.94167,0.883335
2002-10-24,5851.0,0.50833,0.90833,0.7083299999999999
2002-10-25,5873.0,0.45833,0.8250000000000001,0.641665
2002-10-28,6084.0,0.8,0.74167,0.770835
2002-10-29,6045.0,0.66667,0.60833,0.6375
2002-10-30,5903.0,0.36667,0.5,0.433335
2002-10-31,5873.0,0.31667,0.55,0.433335
2002-11-01,5795.0,0.175,0.58333,0.379165
2002-11-04,6029.0,0.55833,0.5166700000000001,0.5375000000000001
2002-11-05,5959.0,0.34167,0.48333,0.4125
2002-11-06,6137.0,0.69167,0.43333,0.5625
2002-11-07,6137.0,0.6,0.35833,0.4791649999999999
2002-11-08,6045.0,0.375,0.39167,0.383335
2002-11-11,5895.0,0.2,0.45,0.325
2002-11-12,5889.0,0.15,0.50833,0.329165
2002-11-13,5851.0,0.225,0.4,0.3125
2002-11-14,5859.0,0.25,0.2833299999999999,0.266665
2002-11-15,6045.0,0.525,0.21667,0.370835
2002-11-18,5983.0,0.45,0.225,0.3375
2002-11-19,6029.0,0.625,0.225,0.425
2002-11-20,6168.0,0.75833,0.375,0.566665
2002-11-21,6246.0,0.86667,0.675,0.770835
2002-11-22,6265.0,0.80833,0.78333,0.79583
2002-11-25,6378.0,0.84167,0.80833,0.825
2002-11-26,6337.0,0.775,0.85,0.8125
2002-11-27,6392.0,0.7666700000000001,0.86667,0.81667
2002-11-28,6457.0,0.8250000000000001,0.85,0.8375
2002-11-29,6546.0,0.83333,0.85,0.841665
2002-12-02,6588.0,0.85833,0.83333,0.8458300000000001
2002-12-03,6650.0,0.88333,0.85,0.866665
2002-12-04,6452.0,0.44167,0.85833,0.65
2002-12-05,6516.0,0.5166700000000001,0.875,0.695835
2002-12-06,6478.0,0.35,0.84167,0.595835
2002-12-09,6378.0,0.275,0.73333,0.504165
2002-12-10,6337.0,0.21667,0.49167,0.35417
2002-12-11,6288.0,0.18333,0.30833,0.24583
2002-12-12,6378.0,0.5,0.26667,0.383335
2002-12-13,6385.0,0.4083299999999999,0.2833299999999999,0.3458299999999999
2002-12-16,6217.0,0.20833,0.26667,0.2375
2002-12-17,6367.0,0.45833,0.29167,0.375
2002-12-18,6407.0,0.525,0.35,0.4375
2002-12-20,6435.0,0.50833,0.41667,0.4625
2002-12-23,6274.0,0.2833299999999999,0.45833,0.37083
2002-12-24,6129.0,0.125,0.34167,0.233335
2002-12-26,6137.0,0.125,0.175,0.15
2002-12-27,6024.0,0.05833,0.125,0.091665
2002-12-30,5791.0,0.06667,0.05833,0.0625
2003-01-02,5816.0,0.1,0.03333,0.066665
2003-01-03,6066.0,0.36667,0.03333,0.2
2003-01-06,6123.0,0.55,0.05833,0.304165
2003-01-07,5986.0,0.36667,0.06667,0.21667
2003-01-08,5994.0,0.35,0.18333,0.266665
2003-01-09,5816.0,0.2333299999999999,0.325,0.279165
2003-01-10,5764.0,0.19167,0.46667,0.32917
2003-01-13,5959.0,0.43333,0.525,0.479165
2003-01-14,5983.0,0.5,0.39167,0.445835
2003-01-15,5931.0,0.5166700000000001,0.2333299999999999,0.375
2003-01-16,5977.0,0.475,0.225,0.35
2003-01-17,5840.0,0.2833299999999999,0.3,0.2916649999999999
2003-01-20,5825.0,0.24167,0.46667,0.35417
2003-01-21,5795.0,0.21667,0.50833,0.3625
2003-01-22,5703.0,0.11667,0.39167,0.25417
2003-01-23,5764.0,0.2333299999999999,0.25833,0.24583
2003-01-24,5597.0,0.05833,0.16667,0.1125
2003-01-27,5440.0,0.03333,0.10833,0.07083
2003-01-28,5511.0,0.05,0.05833,0.054165
