Date,Close,T_noise,T_trend,T_mix
2023-12-14,4719.5498046875,84.5,75.9,80.2
2023-12-15,4719.18994140625,74.6,82.9,78.75
2023-12-18,4740.56005859375,77.1,87.1,82.1
2023-12-19,4768.3701171875,81.9,87.7,84.80000000000001
2023-12-20,4698.35009765625,40.6,84.3,62.45
2023-12-21,4746.75,62.6,77.3,69.95
2023-12-22,4754.6298828125,67.6,70.4,69.0
2023-12-26,4774.75,80.1,63.2,71.65
2023-12-27,4781.580078125,79.9,59.4,69.65
2023-12-28,4783.35009765625,81.3,62.6,71.95
2023-12-29,4769.830078125,67.8,69.2,68.5
2024-01-02,4742.830078125,52.5,77.3,64.9
2024-01-03,4704.81005859375,31.2,78.1,54.65
2024-01-04,4688.68017578125,28.6,57.9,43.25
2024-01-05,4697.240234375,34.6,41.0,37.8
2024-01-08,4763.5400390625,59.8,36.4,48.099999999999994
2024-01-09,4756.5,50.9,33.4,42.15
2024-01-10,4783.4501953125,54.5,33.4,43.95
2024-01-11,4780.240234375,51.9,37.0,44.45
2024-01-12,4783.830078125,50.9,46.5,48.7
2024-01-16,4765.97998046875,39.2,55.9,47.55
2024-01-17,4739.2099609375,25.6,54.1,39.85
2024-01-18,4780.93994140625,41.9,45.5,43.7
2024-01-19,4839.81005859375,54.7,43.1,48.900000000000006
2024-01-22,4850.43017578125,65.4,41.2,53.300000000000004
2024-01-23,4864.60009765625,68.0,43.7,55.85
2024-01-24,4868.5498046875,54.3,45.9,50.099999999999994
2024-01-25,4894.16015625,69.4,56.5,62.95
2024-01-26,4890.97021484375,66.4,67.6,67.0
2024-01-29,4927.93017578125,76.9,71.2,74.05000000000001
2024-01-30,4924.97021484375,73.6,70.2,71.9
2024-01-31,4845.64990234375,37.2,65.6,51.4
2024-02-01,4906.18994140625,63.2,64.0,63.6
2024-02-02,4958.60986328125,56.5,65.2,60.85
2024-02-05,4942.81005859375,36.6,62.4,49.5
2024-02-06,4954.22998046875,46.7,54.3,50.5
2024-02-07,4995.06005859375,55.7,48.3,52.0
2024-02-08,4997.91015625,57.5,45.9,51.7
2024-02-09,5026.60986328125,59.4,47.3,53.349999999999994
2024-02-12,5021.83984375,71.6,53.9,62.75
2024-02-13,4953.169921875,30.0,54.7,42.35
2024-02-14,5000.6201171875,48.5,54.5,51.5
2024-02-15,5029.72998046875,75.1,59.4,67.25
2024-02-16,5005.56982421875,62.8,61.8,62.3
2024-02-20,4975.509765625,56.9,56.5,56.7
2024-02-21,4981.7998046875,62.6,55.1,58.85
2024-02-22,5087.02978515625,79.9,60.4,70.15
2024-02-23,5088.7998046875,82.5,69.4,75.95
2024-02-26,5069.52978515625,65.6,75.1,70.35
2024-02-27,5078.18017578125,67.8,73.0,70.4
2024-02-28,5069.759765625,60.0,70.4,65.2
2024-02-29,5096.27001953125,67.2,71.6,69.4
2024-03-01,5137.080078125,66.6,71.2,68.9
2024-03-04,5130.9501953125,65.6,67.8,66.69999999999999
2024-03-05,5078.64990234375,55.3,62.8,59.05
2024-03-06,5104.759765625,63.8,63.4,63.599999999999994
2024-03-07,5157.35986328125,71.2,67.4,69.30000000000001
2024-03-08,5123.68994140625,67.2,68.6,67.9
2024-03-11,5117.93994140625,67.2,68.6,67.9
2024-03-12,5175.27001953125,73.2,66.8,70.0
2024-03-13,5165.31005859375,66.4,66.4,66.4
2024-03-14,5150.47998046875,42.1,69.2,55.650000000000006
2024-03-15,5117.08984375,36.6,64.6,50.599999999999994
2024-03-18,5149.419921875,41.6,56.5,49.05
2024-03-19,5178.509765625,59.4,49.9,54.65
2024-03-20,5224.6201171875,76.1,50.1,63.099999999999994
2024-03-21,5241.52978515625,81.5,51.5,66.5
2024-03-22,5234.18017578125,68.4,52.5,60.45
2024-03-25,5218.18994140625,57.5,64.6,61.05
2024-03-26,5203.580078125,51.9,72.6,62.25
2024-03-27,5248.490234375,84.1,77.9,81.0
2024-03-28,5254.35009765625,84.7,79.5,82.1
2024-04-01,5243.77001953125,61.2,72.2,66.7
2024-04-02,5205.81005859375,39.2,60.2,49.7
2024-04-03,5211.490234375,39.6,57.3,48.45
2024-04-04,5147.2099609375,20.5,54.3,37.4
2024-04-05,5204.33984375,32.8,52.5,42.65
2024-04-08,5202.39013671875,44.9,42.7,43.8
2024-04-09,5209.91015625,54.9,27.8,41.35
2024-04-10,5160.64013671875,19.5,22.9,21.2
2024-04-11,5199.06005859375,25.4,23.9,24.65
2024-04-12,5123.41015625,5.6,26.8,16.2
2024-04-15,5061.81982421875,2.0,22.1,12.05
2024-04-16,5051.41015625,4.2,14.3,9.25
2024-04-17,5022.2099609375,9.7,5.6,7.6499999999999995
2024-04-18,5011.1201171875,19.9,3.8,11.85
2024-04-19,4967.22998046875,37.4,4.0,20.7
2024-04-22,5010.60009765625,55.3,8.7,32.0
2024-04-23,5070.5498046875,77.7,22.9,50.3
2024-04-24,5071.6298828125,78.7,38.8,58.75
2024-04-25,5048.419921875,66.8,53.9,60.349999999999994
2024-04-26,5099.9599609375,62.0,66.4,64.2
2024-04-29,5116.169921875,73.0,76.1,74.55
2024-04-30,5035.68994140625,36.0,76.1,56.05
2024-05-01,5018.39013671875,33.4,65.8,49.599999999999994
2024-05-02,5064.2001953125,46.1,49.1,47.6
2024-05-03,5127.7900390625,59.6,43.5,51.55
2024-05-06,5180.740234375,72.0,46.1,59.05
2024-05-07,5187.7001953125,77.5,51.3,64.4
2024-05-08,5187.669921875,74.0,53.7,63.85
2024-05-09,5214.080078125,85.3,64.0,74.65
2024-05-10,5222.68017578125,83.1,78.3,80.69999999999999
2024-05-13,5221.419921875,76.5,82.7,79.6
2024-05-14,5246.68017578125,72.4,84.7,78.55000000000001
2024-05-15,5308.14990234375,77.3,83.1,80.19999999999999
2024-05-16,5297.10009765625,70.8,81.5,76.15
2024-05-17,5303.27001953125,68.0,79.5,73.75
2024-05-20,5308.1298828125,60.2,72.8,66.5
2024-05-21,5321.41015625,53.9,69.2,61.55
2024-05-22,5307.009765625,41.2,63.4,52.3
2024-05-23,5267.83984375,19.1,55.5,37.3
2024-05-24,5304.72021484375,28.0,42.5,35.25
2024-05-28,5306.0400390625,21.3,32.4,26.85
2024-05-29,5266.9501953125,11.7,23.7,17.7
2024-05-30,5235.47998046875,22.3,18.7,20.5
2024-05-31,5277.509765625,62.6,17.7,40.15
2024-06-03,5283.39990234375,49.7,17.7,33.7
2024-06-04,5291.33984375,47.9,25.4,36.65
2024-06-05,5354.02978515625,60.8,36.0,48.4
2024-06-06,5352.9599609375,53.7,46.1,49.900000000000006
2024-06-07,5346.990234375,45.7,56.5,51.1
2024-06-10,5360.7900390625,47.9,60.8,54.349999999999994
2024-06-11,5375.31982421875,38.8,53.7,46.25
2024-06-12,5421.02978515625,50.1,44.9,47.5
2024-06-13,5433.740234375,42.3,45.7,44.0
2024-06-14,5431.60009765625,32.0,43.1,37.55
2024-06-17,5473.22998046875,47.1,39.4,43.25
2024-06-18,5487.02978515625,55.3,39.8,47.55
2024-06-20,5473.169921875,62.4,41.0,51.7
2024-06-21,5464.6201171875,66.0,47.9,56.95
2024-06-24,5447.8701171875,74.6,54.1,64.35
2024-06-25,5469.2998046875,50.1,60.0,55.05
2024-06-26,5477.89990234375,39.2,63.2,51.2
2024-06-27,5482.8701171875,41.2,63.8,52.5
2024-06-28,5460.47998046875,44.1,57.3,50.7
2024-07-01,5475.08984375,30.6,48.1,39.35
2024-07-02,5509.009765625,40.8,41.4,41.099999999999994
2024-07-03,5537.02001953125,44.3,34.4,39.349999999999994
2024-07-05,5567.18994140625,43.7,33.2,38.45
2024-07-08,5572.85009765625,48.1,38.2,43.150000000000006
2024-07-09,5576.97998046875,44.7,42.9,43.8
2024-07-10,5633.91015625,69.2,45.5,57.35
2024-07-11,5584.5400390625,80.5,56.9,68.7
2024-07-12,5615.35009765625,84.7,69.4,77.05000000000001
2024-07-15,5631.22021484375,78.5,76.5,77.5
2024-07-16,5667.2001953125,88.1,82.3,85.19999999999999
2024-07-17,5588.27001953125,79.7,83.9,81.80000000000001
2024-07-18,5544.58984375,66.4,83.7,75.05000000000001
2024-07-19,5505.0,49.1,81.9,65.5
2024-07-22,5564.41015625,59.2,78.9,69.05000000000001
2024-07-23,5555.740234375,45.9,74.8,60.349999999999994
2024-07-24,5427.1298828125,29.6,64.2,46.900000000000006
2024-07-25,5399.22021484375,37.6,44.9,41.25
2024-07-26,5459.10009765625,60.4,37.0,48.7
2024-07-29,5463.5400390625,64.2,39.2,51.7
2024-07-30,5436.43994140625,67.0,46.3,56.65
2024-07-31,5522.2998046875,74.2,53.3,63.75
2024-08-01,5446.68017578125,52.9,56.9,54.9
2024-08-02,5346.56005859375,37.0,59.0,48.0
2024-08-05,5186.330078125,15.3,54.5,34.9
2024-08-06,5240.02978515625,22.5,47.7,35.1
2024-08-07,5199.5,18.7,34.6,26.65
2024-08-08,5319.31005859375,42.7,28.8,35.75
2024-08-09,5344.16015625,55.3,24.5,39.9
2024-08-12,5344.39013671875,49.5,20.9,35.2
2024-08-13,5434.43017578125,77.7,24.3,51.0
2024-08-14,5455.2099609375,79.5,48.7,64.1
2024-08-15,5543.22021484375,87.3,76.1,81.69999999999999
2024-08-16,5554.25,88.7,83.7,86.2
2024-08-19,5608.25,92.6,87.3,89.94999999999999
2024-08-20,5597.1201171875,85.1,89.1,87.1
2024-08-21,5620.85009765625,87.9,90.5,89.2
2024-08-22,5570.64013671875,74.0,91.8,82.9
2024-08-23,5634.60986328125,85.1,91.3,88.19999999999999
2024-08-26,5616.83984375,81.7,89.1,85.4
2024-08-27,5625.7998046875,75.5,84.9,80.2
2024-08-28,5592.18017578125,66.0,80.7,73.35
2024-08-29,5591.9599609375,69.0,78.3,73.65
2024-08-30,5648.39990234375,83.1,78.3,80.69999999999999
2024-09-03,5528.93017578125,46.3,75.9,61.1
2024-09-04,5520.06982421875,43.7,65.2,54.45
2024-09-05,5503.41015625,31.2,51.5,41.35
2024-09-06,5408.419921875,19.9,45.1,32.5
2024-09-09,5471.0498046875,35.6,40.8,38.2
2024-09-10,5495.52001953125,40.4,36.0,38.2
2024-09-11,5554.1298828125,44.3,30.8,37.55
2024-09-12,5595.759765625,54.9,30.8,42.85
2024-09-13,5626.02001953125,75.3,37.4,56.349999999999994
2024-09-16,5633.08984375,88.5,52.7,70.6
2024-09-17,5634.580078125,81.1,65.6,73.35
2024-09-18,5618.259765625,70.6,73.2,71.9
2024-09-19,5713.64013671875,71.8,77.5,74.65
2024-09-20,5702.5498046875,63.6,82.7,73.15
2024-09-23,5718.56982421875,70.4,81.1,75.75
